u,y_obj_median_px,sigma_obj_px,valid_fraction,obj_valid,delta_valid,y_ref_smooth_px,delta_y_px,roi_id,height_mm,sensitivity_px_per_mm,in_selected_roi,in_auto_stable_roi,in_analysis_roi
0,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
1,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
2,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
3,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
4,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
5,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
6,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
7,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
8,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
9,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
10,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
11,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
12,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
13,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
14,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
15,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
16,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
17,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
18,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
19,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
20,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
21,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
22,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
23,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
24,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
25,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
26,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
27,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
28,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
29,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
30,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
31,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
32,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
33,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
34,NaN,NaN,0.0,false,false,NaN,NaN,,,NaN,false,false,false
